Name_Category,SK1_D_1_1,SK1_D_1_2,SK1_D_2_1,SK1_D_2_2,SK1_D_3_1,SK1_D_3_2,SK1_H_1_1,SK1_H_1_2,SK1_H_2_1,SK1_H_2_2,SK1_H_3_1,SK1_H_3_2,bPAC_D_1_1,bPAC_D_1_2,bPAC_D_2_1,bPAC_D_2_2,bPAC_D_3_1,bPAC_D_3_2,bPAC_H_1_1,bPAC_H_1_2,bPAC_H_2_1,bPAC_H_2_2,bPAC_H_3_1,bPAC_H_3_2
YEL013W_SK1,27333.984,23936.723,24353.523,22509.934,25245.795,23581.352,24098.99,22555.324,25522.71,24326.86,21044.158,23317.219,28337.41,30176.992,30936.133,29173.113,29890.145,28651.404,26754.33,28086.77,29218.582,27513.633,25748.822,26614.84
YLR447C_SK1,35423.91,33928.188,32443.564,32148.543,36368.793,36007.17,29048.637,29473.648,30252.02,31298.277,32229.754,34353.004,34717.746,42211.934,40397.203,36046.1,36668.484,37307.957,35406.836,35468.098,38539.918,37334.957,33383.656,35751.816
YDL103C_SK1,16223.385,14828.13,14326.328,14457.495,15749.836,15340.3545,13859.211,13654.258,14594.539,14914.894,14776.54,14689.096,17577.695,17569.412,17713.89,15300.982,17064.441,15383.204,17206.854,16280.481,17513.93,15760.642,18139.365,15248.82
YPR165W_SK1,84031.375,75119.19,80393.24,73901.33,74523.6,70098.06,77354.836,72152.11,79816.92,75432.55,75143.055,74224.516,81999.45,74344.81,83725.66,75967.42,88867.016,81634.46,92938.195,79590.445,83767.78,74831.24,85689.93,76590.91
YOR270C_SK1,50332.965,43407.492,49278.086,42187.49,48780.562,43384.492,46285.305,40495.17,49575.48,44299.188,50389.336,49702.406,48014.992,45511.16,48690.69,44290.355,48645.156,43421.168,51685.277,50168.746,49437.652,48031.43,51238.684,48792.527
YKL190W_SK1,20226.252,18865.62,20335.168,18109.133,20023.535,19750.623,19234.72,17928.732,18579.9,19005.043,19964.652,19359.422,18215.873,18858.396,18840.266,17321.6,19774.42,17730.283,20626.717,19179,20422.492,20844.762,19894.545,19380.922
YGR135W_SK1,35133.53,32812.906,33972.793,33265.42,34355.375,34636.254,33267.9,30225.861,32614.023,33349.137,31172.488,33440.625,29622.795,35484.086,30898.46,31164.87,34671.06,31519.342,38070.695,36536.527,36905.992,35616.03,34677.71,34683
YGR193C_SK1,13887.173,12905.869,12664.389,11751.307,12950.426,12356.35,12142.756,11987.231,12953.939,12342.225,12450.299,12340.58,13450.626,13941.247,13688.455,12825.388,12692.624,13227.777,12199.888,11592.511,11701.107,12877.585,13085.898,13751.678
YGL115W_SK1,12036.937,11677.799,10611.236,10773.599,11901.433,11948.533,10870.012,10606.395,12326.918,12252.627,12582.15,12424.555,9761.247,10814.629,10638.016,9494.891,10510.179,9117.599,10941.998,10387.311,10913.684,10005.175,10163.373,10624.865
YKR016W_SK1,25689.504,25333.398,27078.508,24114.637,24725.98,22829.057,23028.596,22941.754,25296.877,24976.492,25877.82,25606.348,22441.314,23640.379,23250.102,20717.613,23195.969,22790.975,24466.502,23432.734,22108.201,21319.074,22402.21,23367.797
YOL049W_SK1,10995.9,10675.98,10627.712,10478.0625,11563.492,10718.99,10043.332,9562.434,10987.469,10693.281,11401.753,11190.051,9503.893,10853.598,10601.09,10234.143,11028.961,9816.3125,10701.327,10624.978,10835.67,10448.729,9177.438,10758.439
YBL047C_SK1,30425.086,29549.129,26927.377,28873.621,29153.615,30139.56,25304.06,26550.209,27535.605,28744.213,31202.965,31089.945,24947.752,29234.098,30009.512,27508.385,27767.418,27937.771,29384.092,30759.266,28031.52,29485.32,25666.996,29468.977
YLR421C_SK1,16113.3955,14809.828,15211.432,14787.733,17147.918,15330.273,15740.328,13461.377,14733.889,13881.246,13735.61,15051.083,13979.161,15660.397,15391.547,14919.504,15263.021,15325.04,13640.726,13863.534,14020.002,13859.255,12348.685,14429.919
YFR006W_SK1,26851.229,25502.164,28346.316,27280.56,28851.29,27835.56,26895.002,27443.963,24575.363,26007.81,28637.137,28543.531,26428.295,29175.664,26836.05,27713.27,25547.602,27790.727,26660.135,26904.152,23821.69,25804.271,24992.705,26414.494
YJL080C_SK1,30834.32,28645.463,30592.475,28602.334,32381.059,29159.531,30299.691,28611.43,30019.992,30872.309,32449.523,33845.777,28597.191,29541.688,28788.316,30933.742,28389.877,30307.008,30014.936,29721.426,29262.934,28732.59,29748.066,31414.705
YPR103W_SK1,27638.21,26884.914,27353.59,26697.7,26633.326,25842.336,26936.855,27188.133,26888.938,26604.512,27753.852,29245.672,27032.736,27803.268,27258.021,26926.672,25641.717,28500.01,27110.686,28281.035,27148.816,28186.668,28376.553,29052.922
YER023W_SK1,41150.28,40870.54,39499.004,38686.375,39729.883,34975.508,40673.984,38110.355,42903.508,41405.516,39153.766,40140.336,39203.79,41490.527,43139.484,38900.77,42181.977,40764.938,43405.375,39918.305,43639.562,39959.785,40074.47,38482.223
YMR099C_SK1,52051.914,48981.883,50201.434,47127.523,52053.23,49887.66,52827.926,52710.03,53531.332,48030.656,51504.78,48182.07,54990.043,52518.434,53612.008,48064.785,52435.75,45816.754,53261.13,49428.1,52923.383,53557.727,53247.617,47687.51
YBR221C_SK1,153375.97,149321.81,142385.47,144540.36,146766.75,140643.28,154057.08,154909.78,151054.27,145552.98,145498,147696.34,155936.95,155075.08,152114.1,144920.77,153920.48,145005.62,149110.6,139409.34,148524.31,135930.27,147594.25,140261.66
YBR053C_SK1,28346.984,28596.717,28968.318,27060.36,31063.766,29064.662,29148.467,27443.033,29482.092,28009.537,30227.3,28675.545,27826.346,29554.28,28693.594,28702.322,31625.156,26672.977,30502.354,26056.84,28146.773,26097.87,27510.818,26556.008
YER057C_SK1,81311.29,76881,75346.61,71008.59,79332.914,74660.02,72657.875,72494.375,69511.67,70555.54,78745.09,75506.836,80853.484,88697.234,82567.44,80273.73,80689.56,76251.17,69781.75,63865.34,76371.98,74828.625,65345.207,66393.08
YDR304C_SK1,86106.414,75262.31,86553.01,78071.21,83782.68,81449.64,85139.13,77753.74,84396.05,68642.54,81213.305,78764.03,88837.81,86828.83,86534.99,81094.34,86407.19,78327.625,78224.68,73637.484,80256.44,81248.43,77861.67,78154.97
YLR043C_SK1,96608.766,91500.96,102031.39,95187.47,101346.68,100394.61,100086.35,96279.49,98338.49,92513.22,109590.45,108361.83,116532.11,109773.58,108900.336,98901.59,111805.41,104137.09,97105.984,86907.47,102966.08,99226.984,95309.1,89080.266
YML085C_SK1,33642.695,33454.074,39955.895,36871.902,34683.5,35339.133,38270.996,33941.79,36073.324,33887.395,42732.246,41805.4,39288.844,39468.676,42324.875,34664.29,44062.8,35696.406,39300.69,32587.523,36473.86,35138.43,36200.37,31838.303
YPR181C_SK1,36711.703,32870.004,37814.953,32834.305,36777.477,35705.625,37164.992,37305.293,36624.89,32863.637,34735.58,34759.63,39663.645,36212.773,39267.117,32714.324,40913.223,32593.44,40207.164,36337.383,42061.004,42917.438,41448.516,37801.32
YBR196C_SK1,369027.2,340525.78,388326.84,362872.62,378280.97,377420.53,371027.44,356658.4,361846.8,361510.2,362467.8,364788.78,409352.94,389019.88,401082.03,398044.94,386363.94,397013.3,378527.7,361079.06,398747.88,395272.5,414742.25,388022.38
YOR332W_SK1,98813.26,108124.19,111047.516,101481.81,107963.74,109103.59,107907.28,111407.91,103104.92,112236.92,102651.69,101374.52,124934.89,119253.055,113285.47,115813.61,120243.23,111322.555,105048.99,104364.91,119777.72,113867.36,112992.3,113402.984
YLR109W_SK1,1302988.1,1153396.5,1351097.2,1086588.5,1275324,1267504,1350370.8,1241103,1248061.2,1209435.8,1138841,1203813.2,1651607.8,1399932.5,1436333.4,1360256.6,1378851.1,1490978.5,1448210.1,1392282.9,1358281,1353311.5,1725917.1,1196875.9
YKL145W_SK1,26076.85,23621.957,27129.102,24251.027,25315.85,25563.676,26106.447,26070.97,26415.81,27127.223,23849.557,22377.549,28429.408,29615.307,30332.463,28873.738,29695.012,28314.57,29513.389,26103.871,28979.633,26472.492,31840.867,26909.314
YCL009C_SK1,53754.53,54780.082,36973.438,37163.484,36869.293,37368.242,33625.348,32531.64,48205.266,50851.652,38300.344,39780.785,47690.875,50339.87,43284.68,43077.164,38625.977,41623.453,44669.887,45477.254,52629.617,49380.023,44534.43,44386.395
YPR024W_SK1,8546.044,8454.703,6662.44,6600.2227,6918.9824,6504.295,6374.8047,6624.9326,7394.8867,7520.4316,6512.7007,6395.194,7573.4336,7742.087,7030.905,7329.418,7346.8604,7448.5864,8055.858,7481.359,7650.366,7506.6245,7456.112,7773.172
YMR208W_SK1,14233.441,14958.992,13502.077,12563.494,13755.284,12902.959,12275.22,12168.239,11654.389,13586.805,12332.83,11468.701,12934.8,14775.911,13158.381,12866.217,12906.011,11760.463,14270.932,13512.214,15459.639,14311.068,13577.322,14305.783
YAR002C-A_SK1,29983.518,26905.957,19638.955,25769.06,28630.379,17453.541,20556.244,25441.416,29092.27,28110.783,22957.568,17512.04,23028.348,23077.828,20794.748,20176.639,23383.92,28099.432,35339.207,22665.361,31913.898,22212.8,21775.68,32565.508
YDR194C_SK1,14156.598,13770.603,11524.695,12099.978,11875.866,11364.322,12751.164,14113.184,12581.975,14249.156,10226.301,7628.2515,15405.564,12651.801,12227.052,10271.115,14661.312,11894.549,15633.211,12945.301,15318.831,12618.73,15532.686,13533.969
YGL256W_SK1,213286.66,211499.23,184172.66,177896.25,188984.19,182169.89,190886.28,174364.03,190604.03,169114.56,170546.88,170480.89,214697.88,181272.8,183758.78,150808.78,191391.72,177589.19,202034.77,179670.2,221203.06,192043.53,224034.2,188763.44
YGL006W_SK1,12952.207,12704.92,12375.694,12800.561,12765.866,13213.918,11336.417,11211.233,12690.672,13140.711,10810.573,7799.2373,12100.426,13618.695,13031.257,13028.705,13003.352,14405.285,12734.881,13107.722,13825.3125,13112.434,10834.821,12754.139
YDR174W_SK1,30673.04,23205.857,30072.041,25998.15,25305.223,26854.24,26836.904,27850.154,26872.064,25692.3,25843.91,23781.744,32229.316,24428.354,23785.936,25606.07,25223.441,22764.16,20536.96,28468.105,24885.123,34661.9,28408.396,28816.21
YMR125W_SK1,12240.492,12816.5625,17990.264,12580.236,13470.53,13732.701,11570.036,11858.641,12233.359,10839.46,12413.216,11971.11,15854.088,12436.072,11135.337,14722.795,12620.863,11446.975,11585.066,12754.957,11489.179,12410.994,11608.558,11720.629
YML048W_SK1,239219.3,240622.94,248945.58,250137.84,232717.38,263639.8,256196.58,287132.34,251432.78,269744.62,242388.5,273406.2,319539.22,246668.69,149289.7,281836.9,250829.72,296518.66,261430.58,271769.06,266358.7,264660.28,302275.72,265604.56
YJR103W_SK1,21791.607,21112.75,19789.418,21722.002,22058.184,31070.35,25150.861,19986.434,21674.492,28974.082,21241.55,22553.043,26736.627,27028.742,23254.8,28228.848,15140.797,22249.924,23130.963,22929.898,24624.977,26619.967,27028.283,21121.441
