Name_Category,ESM356Leu_D_1_1,ESM356Leu_D_1_2,ESM356Leu_D_2_1,ESM356Leu_D_2_2,ESM356Leu_D_3_1,ESM356Leu_D_3_2,ESM356Leu_H_1_1,ESM356Leu_H_1_2,ESM356Leu_H_2_1,ESM356Leu_H_2_2,ESM356Leu_H_3_1,ESM356Leu_H_3_2,Clb2_D_1_1,Clb2_D_1_2,Clb2_D_2_1,Clb2_D_2_2,Clb2_D_3_1,Clb2_D_3_2,Clb2_H_1_1,Clb2_H_1_2,Clb2_H_2_1,Clb2_H_2_2,Clb2_H_3_1,Clb2_H_3_2
YER008C,8354.066,8900.192,4967.343,5850.8784,6857.2236,7948.04,6140.6953,4283.2427,6217.524,8125.6055,6326.3584,3931.8691,4564.8423,6151.102,4838.464,4419.9746,5984.1113,9444,4693.2026,4507.378,4102.7236,6406.3574,5388.3867,4473.374
YDR138W,8435.046,6999.53,5365.6416,7002.195,8327.225,8368.363,7567.6733,3850.7412,5280.259,7092.4043,6337.5137,5018.829,6753.4785,8206.022,7152.7637,5486.3794,6327.4863,10438.3,3477.3958,5911.492,3032.6277,6717.795,5162.268,9717.328
YPL169C,16556.316,9067.283,8282.611,8671.486,8630.549,20701.434,13661.156,10161.146,14761.535,15915.425,16294.236,9731.815,10821.743,15548.085,16286.539,15724.545,14601.785,15030.365,7808.174,10737.813,9323.393,16023.319,10196.585,16746.75
YOL059W,65549.1,58702.477,52845.72,40492.867,60370.39,56803.805,36196.742,54212.266,68176.27,46099.766,49379.844,41545.992,47570.758,48323.09,50542.43,46139.402,64106.08,55605.316,38025.08,45255.965,40160.793,41904.29,45525.152,53923.934
YOR048C,25554.691,20538.764,20559.824,18952.426,15083.882,17807.234,16328.646,16042.029,15955.9795,17094.398,11927.981,16879.809,17781.557,14986.575,13541.814,13503.58,23279.887,21362.553,13697.118,14946.93,15733.29,17685.486,17786.32,18105.07
YPR041W,38656.64,31768.621,44971.277,33589.67,29429.164,34763.836,39107.316,22390.234,18550.39,36551.64,32708.541,33562.27,34913.043,35839.938,24653.074,31449.713,39651.957,32226.39,28416.246,26156.8,27427.316,32299.93,32109.094,39020.97
YDR166C,3963.5957,3846.5312,4760.6084,3761.7256,3981.852,3994.2974,3869.604,3777.902,3804.5303,3975.2273,3900.7866,4048.7544,3592.3835,3641.3237,3748.522,3108.3613,4717.426,4121.316,3236.3157,3610.1208,3032.901,3127.7798,2739.5835,4533.978
YDR406W,11187.788,8637.18,7657.501,8080.1865,9164.935,8105.343,7782.1504,7871.146,6304.6426,6092.488,6195.6475,5828.727,6202.9785,5649.868,4327.431,5034.876,6222.8555,6006.902,4949.787,5080.71,4299.206,6407.493,4288.6655,7359.947
YJL183W,24933.684,22634.906,26698.303,22309.17,23356.992,16620.586,10657.958,9736.742,10636.064,21094.54,20118.172,14665.186,12865.884,9145.098,12132.288,9942.27,12866.137,10802.299,12905.971,9970.266,11292.422,9130.18,10442.682,10756.049
YPL170W,18951.564,16725.334,19009.543,18082.92,16982.379,15219.142,15077.309,15387.961,16166.451,14273.908,16454.943,15296.008,10711.297,10602.821,8599.2295,9224.495,9826.841,8578.718,8463.375,8818.703,7779.6846,9413.086,9917.113,8766.56
YLL021W,6314.878,7282.219,6239.8867,7069.9546,8387.372,7129.278,7700.8174,7529.7393,7947.2563,7523.3745,4857.1816,6723.4624,5350.232,4096.1963,2675.331,5041.9844,6026.302,5511.4526,3457.5752,3925.1611,4946.678,3901.9136,5016.497,4184.907
YNR034W-A,126839.81,120448.625,128354.44,124450.06,117002.71,110838.516,102340.766,109525.26,96154,104231.664,95236.87,86846.95,98760.46,92341.73,88067.53,92688.35,97174.71,104641.53,69921.266,82126.76,66819.01,65012.68,81017.09,79620.29
YLR237W,27658.87,25857.855,26398.848,25794.918,25678.148,25543.012,24496.166,24213.936,23188.473,23629.838,22777.352,22338.857,19529.354,19101.406,19457.902,18679.975,17697.488,17893.812,17687.7,17801.643,18726.725,19007.748,18781.545,18010.502
YOR020W-A,14751.508,15648.211,17013.602,17007.55,16596.023,16486.791,13173.848,15416.167,13530.194,15798.677,12973.169,13823.574,11520.095,15234.852,7986.595,14148.78,11604.941,13089.146,10710.581,13364.314,10014.939,12674.32,11137.498,13015.899
YML097C,2197.5876,2078.2703,2730.9844,2606.2832,3351.2085,3804.9272,2549.0024,2984.9712,2618.3835,2950.0103,2873.1958,2482.0518,3125.541,2142.7793,1224.4529,2298.5728,1438.87,2335.987,2113.4485,2345.2217,1299.7151,2172.5872,1859.2885,2763.1216
YER101C,25916.639,23831.727,24379.5,26490.723,27383.03,27488.773,16246.386,17164.184,17937.574,19585.064,16798.684,18466.406,24076.805,5443.422,17718.844,19332.469,16215.272,18464.64,16924.008,19733.154,20176.906,22511.52,17890.148,21080.078
YIL169C,19481.361,21186.303,21090.074,24269.285,25696.387,27133.512,14135.787,16215.02,19336.652,20243.605,16739.035,17797.285,18607.111,19089.537,18130.182,20127.215,18910.621,19213.408,14763.363,16037.789,16767.127,16246.772,14726.566,17128.248
YBR260C,6643.4375,5943.846,8351.209,3297.9539,5953.14,4058.6091,6212.1753,5504.1875,5745.876,4935.6934,6199.8794,3548.645,1933.354,4889.556,2052.162,5526.1016,3126.2888,5775.505,2228.0525,4563.818,4165.6543,7101.4824,4159.3926,5105.1646
YBR102C,4765.6597,2370.4944,5339.1855,2183.0981,1984.8801,2852.5063,1711.0474,2600.7651,2902.2595,2758.415,2681.4756,2449.9624,2483.2354,2374.1912,2337.6846,3099.2075,1960.4058,2576.3281,2607.2456,2948.461,2420.8848,2652.4434,2695.7998,3002.5227
YCR011C,5272.0195,5493.471,14363.719,6757.834,5411.503,6636.817,4535.5117,5781.551,4431.73,6337.1743,3769.341,5442.1777,4498.4106,6275.758,4633.2983,6068.5596,4096.874,6046.9595,3628.1704,5367.274,3209.8071,5485.0176,4340.4688,5567.278
YGR161C,4065.3481,3457.1304,5797.3525,4361.495,4672.44,5150.278,3515.4565,3195.5842,4271.9385,4604.4165,3823.8604,4840.2334,3547.0771,4424.842,3092.401,4747.5854,2962.0403,3930.0378,2956.3406,4874.347,2647.1626,5187.3154,3766.358,5259.28
YPR173C,8412.533,10321.198,9316.006,9058.716,9752.176,9334.991,7505.5854,9290.358,9345.733,9322.496,7309.412,8667.285,7213.9424,10777.595,6174.1636,6908.6562,9142.994,8321.033,5898.1826,8956.5,5421.736,8096.046,7538.8623,8146.681
YEL032W,2223.58,2159.5088,2156.8862,2519.3896,2298.8472,2770.9014,2026.9332,2801.313,2388.7856,2697.2004,1755.6719,2464.6147,1984.9257,2620.9507,1330.9672,2362.0015,1962.5889,2654.1855,1346.1152,2541.663,1641.5242,2167.8481,2162.5073,2498.969
